inspiring brave air india woman pilot saved lives captainanupamakohli airindia vistara,positive,0.65
brave air india woman pilot saved lives captainanupamakohli airindia vistara,positive,0.8
woman pilot averted crash saved,neutral,0.0
salute airindia anupmakohli action,positive,0.1
disaster averted mumbai airspace vistara aircraft perilously close airindia,neutral,0.0
air india flights avoid worst crash airindia,negative,-1.0
airplanes collision not fault nor vistara nor airindia blame pawar,neutral,0.0
vistara planes collide flyers breakingnews,neutral,0.0
vistara captain kohli saved breakingnews,neutral,0.0
fire board airindia flight casualties,neutral,0.0
heartful salute mam feeling proud,positive,0.8
aviation authorities launch probe collision averted india planes,neutral,0.0
pilot capt anupamakohli saved lives passengers onboard airindia vistara aircraft week,neutral,0.0
climb vistara airindia mid air crash averted moment top stories news,positive,0.25
call jio phone trying hour,neutral,0.0
vistara planes collidemidair flyers,neutral,0.0
airindia understand stationed aircraft hazard stand front jets,neutral,0.0
fire warning forces airindia pilot abort,neutral,0.0
board airindia ahmedabad flight,neutral,0.0
airindia salutes capt anupama kohli averting air collision mumbai,neutral,0.0
india near woman pilot saved lives flyers times india,positive,0.1
crash vistara airindia flights averted major midair collision air,positive,0.0625
firewarning forces air india pilot abort,neutral,0.0
sos pleasert,neutral,0.0
airindia vistaraplanes collide flyers risk,neutral,0.0
board airindia flight,neutral,0.0
board airindia flight casualties werindia,neutral,0.0
vistaraplanes collide flyers risk,neutral,0.0
highlights airindia applauded presence mind shown captain anupama anupama kohli,neutral,0.0
airindia applauded presence mind shown captain anupama anupama kohli,neutral,0.0
india flight aborts takeoff airport airindia gujarat ahmedabad mumbai,neutral,0.0
disaster averted mumbai air space vistara aircraft perilously close air,neutral,0.0
detected aboard air india flight preparing takeoff official,neutral,0.0
board airindia flight casualties,neutral,0.0
fire board airindia mumbaiahmedabadflight casualties,neutral,0.0
airindia flight aborted onboard fire casualties,neutral,0.0
flight aborted onboard fire casualties,neutral,0.0
board air india flight casualties fire airindia mumbai flight,neutral,0.0
flight aborts takeoff fire warning via,neutral,0.0
haan bhai check line main hi khada hoon guess airlift airindia,positive,0.166666666667
flight aborts takeoff fire warning,neutral,0.0
ai033 air india flight etd dept,neutral,0.0
airindia flight aborts airport false fire,negative,-0.4
flight aborts airport false fire,negative,-0.4
omg answers dgca airindia safety,neutral,0.0
airindia flight rejects takeoff fire alarm goes cockpit reports smoke left,neutral,0.0
excuse typos fell trap watched react twitter,negative,-0.05
air india planes continuously landing dgca look,neutral,0.0
airindia flight safety,neutral,0.0
airindia flight rejects takeoff fire alarm goes cockpit reports smoke left engine,neutral,0.0
airindia flight rejected takeoff chhatrapatishivajiinternationalairport pm,neutral,0.0
vistra a320 air india a319 planes flying feet apart vertically vistara airindia airport,neutral,0.0
a320 air india a319 planes flying feet apart vertically vistara,neutral,0.0
misusing airindia trains rest,neutral,0.0
disaster averted mumbai air space vistara aircraft perilously close,neutral,0.0
grants airindia approval operate direct flights airspace,positive,0.1
am book flight airindia scares,neutral,0.0
collision averted vistara flight comes dangerously close airindia aircraft,negative,-0.6
collision averted vistara flight comes dangerously close airindia,negative,-0.6
flight dec paid extra meals neither customer care nor app send boarding,neutral,0.0
vistara flight airindia flight averted collision mumbai,neutral,0.0
disaster averted mumbai airspace vistara aircraft perilously close,neutral,0.0
pending imminent stake sale privatisation airindia declaring operating profit rs298 crore,neutral,0.0
midair crash vistara air india flights national airindia,neutral,0.0
soon book lufthansa ticket airindia mobile,neutral,0.0
passengers board km ft air vistara airindia escape,neutral,0.0
book lufthansa ticket airindia mobile,neutral,0.0
airindia website provide positive feedback recent flight officer,positive,0.113636363636
india flights avoid worst crash,negative,-1.0
airline sanskari bullshit serving vegetarian shit please saffron airindia,negative,-0.2
airindia flights narrowly avoid deadly collision,negative,-0.2
air collision avoided afford thank,neutral,0.0
crash vistara airindia flights averted news,neutral,0.0
airindia planes dodge midair crash mumbai lives saved tcas indigo,neutral,0.0
airindia am frequent flyer improvement lack coordination,positive,0.1
collision vistara airindia flights averted mumbai via,neutral,0.0
der predetermined delay dan hours flight ai poor service,negative,-0.4
vistara flights dodge midair collision mumbai airspace via,neutral,0.0
airindia vistara flights dodge midair collision mumbai airspace,neutral,0.0
fake news spread indian saudi civil aviation authority denies,negative,-0.5
modiinpalestine time saudiarabia airspace airindia flyover israel,neutral,0.0
seriously airindia serve,negative,-0.333333333333
remove monopoly flights saudia arabia airindia,neutral,0.0
probably mistake flying month delay delay,neutral,0.0
airindia flight customer service not able checkin sometimes,negative,-0.25
flight customer service not able checkin,negative,-0.25
understand guys loss flight blr del sfo delayed mins,neutral,0.0
shot ago day maharaja ellora outbound,neutral,0.0
completed flight airindia seat inflight entertainment row hour flight,neutral,0.0
piece advice please improve quality refreshments served flight airindia,neutral,0.0
reported scam airindia looting taxpayers money,neutral,0.0
merger cards decided percent fdi,neutral,0.0
pnr jhxt0 traveling time quality food gone worse serve,negative,-0.4
ai waiting takeoff wait reason airindia,neutral,0.0
gone reply airindia shame worst experience airlines recommend,negative,-1.0
largest lender bank india posts net loss rs crore december quarter compared,neutral,0.0
add flights,neutral,0.0
passenger dragged plane security lady dragged feet legs unbelievable airindia,negative,-0.25
vehicular traffic landing airindia flight delayed due air traffic,negative,-0.125
not refused,neutral,0.0
pm promote airlines namo pm airindia,neutral,0.0
saudi journalist supports granting flights airspace approval,neutral,0.0
airindia provides seamless connection paris chennai delhi rejoice refresh view,positive,0.1
waives cancellation charges flights maldives,neutral,0.0
sbi merger associate banks govt largest bank reeling massive,neutral,0.0
